654;SHP;Фунт Святой Елены;Святая Елена, остров Вознесения, Тристан-да-Кунья
678;STD;Добра;Сан-Томе и Принсипи
682;SAR;Саудовский риял;Саудовская Аравия
690;SCR;Сейшельская рупия;Сейшелы
694;SLL;Леоне;Сьерра-Леоне
702;SGD;Сингапурский доллар;Сингапур
704;VND;Донг;Вьетнам
706;SOS;Сомалийский шиллинг;Сомали
710;ZAR;Рэнд;"Лесото; Намибия; Южная Африка"
728;SSP;Южносуданский фунт (данная валюта введена в действие для Южного Судана с 18 июля 2011 г);Южный Судан
748;SZL;Лилангени;Свазиленд
752;SEK;Шведская крона;Швеция
756;CHF;Швейцарский франк;"Лихтенштейн; Швейцария"
760;SYP;Сирийский фунт;Сирийская Арабская Республика
764;THB;Бат;Таиланд
776;TOP;Паанга;Тонга
780;TTD;Доллар Тринидада и Тобаго;Тринидад и Тобаго 
784;AED;Дирхам (ОАЭ);Объединенные Арабские Эмираты (ОАЭ)
788;TND;Тунисский динар;Тунис
800;UGX;Угандийский шиллинг;Уганда
807;MKD;Денар;Македония, бывшая Югославская Республика
818;EGP;Египетский фунт;Египет
826;GBP;Фунт стерлингов;Соединенное королевство
834;TZS;Танзанийский шиллинг;Танзания, объединенная республика
840;USD;Доллар США;"Американское Самоа; Британская территория в Индийском океане; Бонэйр, Синт-Эстатиус и Саба; Виргинские острова (Британские); Виргинские острова (США); Гаити; Гуам; Малые Тихоокеанские Отдаленные острова Соединенных Штатов; Маршалловы Острова; Микронезия, федеративные штаты; Острова Теркс и Кайкос; Палау; Панама; Пуэрто- Рико; Северные Марианские острова; Соединенные Штаты; Тимор-Лесте; Эквадор; Эль-Сальвадор"
858;UYU;Уругвайское песо;Уругвай
860;UZS;Узбекский сум;Узбекистан
882;WST;Тала;Самоа
886;YER;Йеменский риал;Йемен
901;TWD;Новый тайваньский доллар;Тайвань (Китай) 
931;CUC;Конвертируемое песо;Куба 
932;ZWL;Доллар Зимбабве (данная валюта введена в действие с 1 февраля 2009 г.);Зимбабве 
934;TMT;Новый манат;Туркмения 
936;GHS;Ганский седи;Гана
937;VEF;Боливар;Венесуэла
938;SDG;Суданский фунт;Судан
940;UYI;Уругвайское песо в индексированных единицах (данная валюта действует с 11 ноября 2006 г.);Уругвай 
941;RSD;Сербский динар (данная валюта действует с 25 октября 2006 г.);Сербия 
943;MZN;Мозамбикский метикал;Мозамбик 
944;AZN;Азербайджанский манат (данная валюта вводится в действие с 1 января 2006 г.);Азербайджан 
946;RON;Новый лей;Румыния
949;TRY;Турецкая лира (данная валюта введена в действие с 1 января 2009 г.);Турция 
950;XAF;Франк КФА ВЕАС (Франк КФА ВЕАС - денежная единица Банка государств Центральной Африки );"Габон; Камерун; Конго; Центрально-Африканская Республика; Чад; Экваториальная Гвинея "
951;XCD;Восточно-карибский доллар;"Ангилья; Антигуа и Барбуда; Гренада; Доминика; Монтсеррат; Сент-Винсент и Гренадины; Сент-Китс и Невис; Сент-Люсия"
952;XOF;Франк КФА ВСЕАО (Франк КФА ВСЕАО - денежная единица Центрального Банка государств Западной Африки);"Бенин; Буркина-Фасо; Гвинея-Бисау; Кот д'Ивуар; Мали; Нигер; Сенегал; Того "
953;XPF;Франк КФП;"Новая Каледония; Французская Полинезия; Уоллис и Футуна"
960;XDR;СДР (специальные права заимствования);Международный валютный фонд (МВФ)
967;ZMW;Замбийская квача;Замбия
968;SRD;Суринамский доллар;Суринам
969;MGA;Малагасийский ариари;Мадагаскар
970;COU;Единица реальной стоимости;Колумбия 
971;AFN;Афгани;Афганистан
972;TJS;Сомони;Таджикистан
973;AOA;Кванза;Ангола
974;BYR;Белорусский рубль;Беларусь
975;BGN;Болгарский лев;Болгария
976;CDF;Конголезский франк;Конго, демократическая республика
977;ВАМ;Конвертируемая марка;Босния и Герцеговина
978;EUR;Евро (данная валюта вводится в действие для Латвии с 1 января 2014 г. );"Австрия; Андорра; Бельгия; Гваделупа; Германия; Греция; Ирландия; Исландия; Испания; Италия; Кипр; Люксембург; Майотта; Мальта; Мартиника; Монако; Нидерланды; Папский Престол (Государство-город Ватикан); Португалия; Реюньон; Сан-Марино; Сен-Бартелеми; Сен-Мартен; Сент-Пьер и Микелон; Словакия; Словения; Финляндия; Франция; Французская Гвиана; Французские Южные территории; Черногория; Эстония"
980;UAH;Гривна;Украина
981;GEL;Лари;Грузия
985;PLN;Злотый;Польша
986;BRL;Бразильский реал;Бразилия
